epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9388,1.68403,2.9579,1.22691,0.76607,0.15307,0.20852,0.11575,1.31941,2.79079,1.07438,0.000410539,0.000410539,0.000410539
2,32.8911,1.35144,1.63659,1.06953,0.49744,0.4538,0.52317,0.32939,1.27552,1.66679,1.08404,0.000810827,0.000810827,0.000810827
3,47.544,1.31371,1.42057,1.06211,0.50499,0.53579,0.53562,0.32402,1.30476,1.41452,1.08998,0.00119462,0.00119462,0.00119462
4,61.6941,1.28886,1.29941,1.06139,0.5679,0.62088,0.64006,0.39596,1.28265,1.18434,1.10099,0.00117575,0.00117575,0.00117575
5,74.992,1.24723,1.19707,1.03803,0.64152,0.63436,0.68451,0.42582,1.23331,1.08329,1.07832,0.001151,0.001151,0.001151
6,89.441,1.21709,1.12795,1.02966,0.59603,0.71478,0.67501,0.44235,1.18795,1.02268,1.05277,0.00112625,0.00112625,0.00112625
7,103.369,1.23719,1.08212,1.02952,0.7101,0.69013,0.71554,0.46464,1.21009,0.9529,1.06328,0.0011015,0.0011015,0.0011015
8,117.789,1.20303,1.02674,1.01726,0.6701,0.70868,0.70864,0.43996,1.26689,1.12463,1.12057,0.00107675,0.00107675,0.00107675
9,131.333,1.20932,1.0215,1.0184,0.66682,0.68249,0.70661,0.45142,1.19148,0.94549,1.05265,0.001052,0.001052,0.001052
10,145.68,1.18639,0.97046,1.0119,0.65842,0.69268,0.69089,0.45001,1.20507,1.00026,1.06437,0.00102725,0.00102725,0.00102725
11,160.169,1.17105,0.94924,1.0095,0.69348,0.70248,0.72609,0.46354,1.20491,0.87594,1.05855,0.0010025,0.0010025,0.0010025
12,174.646,1.16985,0.91853,0.99918,0.66454,0.66265,0.68476,0.45292,1.1802,1.04182,1.06118,0.00097775,0.00097775,0.00097775
13,188.273,1.1558,0.88252,0.99913,0.70059,0.6859,0.72725,0.47747,1.18014,0.84614,1.05135,0.000953,0.000953,0.000953
14,202.418,1.14262,0.87808,0.99385,0.73147,0.69366,0.71531,0.46244,1.18463,0.87657,1.05549,0.00092825,0.00092825,0.00092825
15,216.337,1.15628,0.88332,1.00775,0.68903,0.66987,0.71769,0.47377,1.20908,0.86027,1.07571,0.0009035,0.0009035,0.0009035
16,230.941,1.13243,0.85778,0.9912,0.67972,0.71287,0.72514,0.47631,1.19633,0.82103,1.06409,0.00087875,0.00087875,0.00087875
17,244.961,1.12244,0.84637,0.99578,0.7089,0.67457,0.74764,0.49571,1.15871,0.88105,1.04956,0.000854,0.000854,0.000854
18,259.195,1.11822,0.81446,0.98315,0.67823,0.72605,0.72988,0.47511,1.17354,0.8469,1.05558,0.00082925,0.00082925,0.00082925
19,272.907,1.12211,0.81229,0.98935,0.73577,0.67581,0.73161,0.47977,1.15028,0.81678,1.047,0.0008045,0.0008045,0.0008045
20,287.578,1.10501,0.79638,0.97656,0.68765,0.72263,0.73159,0.49048,1.1591,0.88442,1.04675,0.00077975,0.00077975,0.00077975
21,302.449,1.09483,0.78652,0.97963,0.72829,0.73148,0.76085,0.49618,1.18079,0.78846,1.05568,0.000755,0.000755,0.000755
22,316.348,1.09913,0.77276,0.98187,0.74547,0.6951,0.75639,0.49526,1.16961,0.77839,1.05307,0.00073025,0.00073025,0.00073025
23,330.734,1.07533,0.74538,0.9694,0.73377,0.75729,0.74826,0.48699,1.17436,0.79267,1.05562,0.0007055,0.0007055,0.0007055
24,344.669,1.07895,0.74966,0.96879,0.70626,0.75144,0.75471,0.48644,1.18282,0.85076,1.05686,0.00068075,0.00068075,0.00068075
25,358.644,1.08268,0.74965,0.97246,0.6703,0.73136,0.73174,0.48449,1.16571,0.85103,1.05009,0.000656,0.000656,0.000656
26,373.747,1.06596,0.73603,0.97279,0.69359,0.7322,0.73939,0.49484,1.16271,0.78572,1.05,0.00063125,0.00063125,0.00063125
27,387.636,1.0542,0.71424,0.96475,0.70892,0.78221,0.76601,0.50107,1.1932,0.78982,1.06551,0.0006065,0.0006065,0.0006065
28,401.067,1.05548,0.71509,0.96342,0.73375,0.73931,0.73601,0.49677,1.16322,0.78106,1.0497,0.00058175,0.00058175,0.00058175
29,415.479,1.05703,0.70355,0.9625,0.72366,0.73533,0.7556,0.4965,1.18342,0.80684,1.06054,0.000557,0.000557,0.000557
30,429.312,1.04275,0.69316,0.955,0.72945,0.72278,0.73198,0.48571,1.18405,0.7866,1.05705,0.00053225,0.00053225,0.00053225
31,443.44,1.04676,0.68452,0.95938,0.74677,0.74343,0.75846,0.49833,1.16884,0.7712,1.05331,0.0005075,0.0005075,0.0005075
32,457.875,1.04991,0.69012,0.95812,0.72734,0.76203,0.75824,0.50601,1.17831,0.77188,1.05802,0.00048275,0.00048275,0.00048275
33,472.506,1.03327,0.67147,0.95499,0.72349,0.7344,0.74718,0.49763,1.17751,0.79338,1.06064,0.000458,0.000458,0.000458
