epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2793,1.59516,2.16717,1.31551,0.48963,0.57104,0.55587,0.32481,1.37627,1.40394,1.1921,0.000410539,0.000410539,0.000410539
2,32.3833,1.25014,1.20075,1.10112,0.75694,0.62964,0.69425,0.43246,1.22679,1.36673,1.17422,0.000819017,0.000819017,0.000819017
3,46.4178,1.23018,1.121,1.10995,0.61914,0.6916,0.66201,0.40781,1.2613,1.4225,1.19237,0.00121924,0.00121924,0.00121924
4,60.4179,1.19804,1.04823,1.09609,0.72703,0.68114,0.74825,0.48783,1.19565,1.01063,1.13637,0.00121287,0.00121287,0.00121287
5,74.6375,1.15867,0.95575,1.08302,0.75299,0.7305,0.78141,0.50548,1.18673,0.94034,1.15195,0.0012005,0.0012005,0.0012005
6,88.7917,1.13303,0.92857,1.06785,0.77273,0.7573,0.81409,0.52818,1.17922,0.86801,1.13756,0.00118812,0.00118812,0.00118812
7,102.796,1.12742,0.88714,1.06535,0.84432,0.69283,0.79383,0.51325,1.17545,0.86934,1.15029,0.00117575,0.00117575,0.00117575
8,116.803,1.11162,0.84698,1.05584,0.75609,0.73071,0.78678,0.49993,1.21218,0.8874,1.15586,0.00116337,0.00116337,0.00116337
9,130.945,1.10891,0.83703,1.05197,0.77542,0.75445,0.81369,0.52997,1.17092,0.88332,1.13517,0.001151,0.001151,0.001151
10,145.026,1.08947,0.81938,1.04557,0.77005,0.77829,0.81259,0.53886,1.14701,0.8641,1.13182,0.00113863,0.00113863,0.00113863
11,159.17,1.07435,0.79869,1.03818,0.72984,0.777,0.78183,0.52567,1.15429,0.94897,1.11615,0.00112625,0.00112625,0.00112625
12,173.265,1.08166,0.79349,1.03192,0.75025,0.79028,0.81213,0.53735,1.15998,0.80547,1.1341,0.00111388,0.00111388,0.00111388
13,187.433,1.07142,0.7578,1.03271,0.76902,0.75743,0.7953,0.5275,1.18074,0.84531,1.14472,0.0011015,0.0011015,0.0011015
14,201.487,1.04454,0.75471,1.02549,0.72456,0.78206,0.75942,0.50113,1.16625,0.8109,1.13245,0.00108913,0.00108913,0.00108913
15,215.434,1.04936,0.75019,1.03097,0.78439,0.76039,0.82602,0.54961,1.15349,0.81357,1.12453,0.00107675,0.00107675,0.00107675
16,229.613,1.04004,0.72622,1.02155,0.79293,0.75131,0.81071,0.53359,1.15798,0.82019,1.13028,0.00106437,0.00106437,0.00106437
17,243.515,1.02169,0.72181,1.01943,0.7878,0.76772,0.81014,0.53619,1.14567,0.80549,1.12774,0.001052,0.001052,0.001052
18,257.542,1.02181,0.70832,1.01199,0.76905,0.78695,0.8205,0.53073,1.16734,0.79822,1.15177,0.00103962,0.00103962,0.00103962
